#tactical-fusion-cyber/1	cveattack	2026-09-24T15:06:55Z	kev-attack-enterprise.json
CVE-2017-6742	[{"id":"T1574","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1048","types":["secondary impact"]},{"id":"T1542.005","types":["secondary impact"]}]
CVE-2017-9805	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]}]
CVE-2017-9822	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1496","types":["secondary impact"]}]
CVE-2018-0296	[{"id":"T1202","types":["exploitation technique"]},{"id":"T1005","types":["primary impact"]}]
CVE-2018-11776	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1496","types":["secondary impact"]}]
CVE-2018-13379	[{"id":"T1190","types":["exploitation technique"]}]
CVE-2018-15961	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1491.002","types":["primary impact"]}]
CVE-2018-15982	[{"id":"T1204.002","types":["exploitation technique"]},{"id":"T1105","types":["primary impact"]}]
CVE-2018-4878	[{"id":"T1204.002","types":["exploitation technique"]},{"id":"T1219","types":["primary impact"]},{"id":"T1041","types":["secondary impact"]}]
CVE-2018-4939	[{"id":"T1203","types":["exploitation technique"]},{"id":"T1133","types":["primary impact"]},{"id":"T1190","types":["primary impact"]}]
CVE-2018-4990	[{"id":"T1059.007","types":["exploitation technique"]},{"id":"T1204.002","types":["exploitation technique"]}]
CVE-2018-6789	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]}]
CVE-2018-7600	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1485","types":["secondary impact"]},{"id":"T1496","types":["secondary impact"]}]
CVE-2019-0211	[{"id":"T1068","types":["exploitation technique"]}]
CVE-2019-0604	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1041","types":["primary impact"]},{"id":"T1505.003","types":["primary impact"]},{"id":"T1608.001","types":["primary impact"]},{"id":"T1003","types":["secondary impact"]}]
CVE-2019-0708	[{"id":"T1133","types":["exploitation technique"]},{"id":"T1059.004","types":["primary impact"]},{"id":"T1498","types":["secondary impact"]}]
CVE-2019-11510	[{"id":"T1133","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1083","types":["secondary impact"]},{"id":"T1552.001","types":["secondary impact"]}]
CVE-2019-11580	[{"id":"T1059","types":["primary impact"]}]
CVE-2019-11634	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1003","types":["secondary impact"]},{"id":"T1005","types":["secondary impact"]},{"id":"T1046","types":["secondary impact"]},{"id":"T1078","types":["secondary impact"]},{"id":"T1486","types":["secondary impact"]}]
CVE-2019-13608	[{"id":"T1059","types":["primary impact"]},{"id":"T1003","types":["secondary impact"]},{"id":"T1005","types":["secondary impact"]},{"id":"T1046","types":["secondary impact"]},{"id":"T1078","types":["secondary impact"]}]
CVE-2019-1653	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1082","types":["primary impact"]},{"id":"T1005","types":["secondary impact"]},{"id":"T1007","types":["secondary impact"]}]
CVE-2019-17558	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]}]
CVE-2019-18935	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1041","types":["primary impact"]},{"id":"T1496","types":["primary impact"]},{"id":"T1505.003","types":["primary impact"]}]
CVE-2019-19781	[{"id":"T1133","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1083","types":["secondary impact"]}]
CVE-2019-3396	[{"id":"T1133","types":["exploitation technique"]},{"id":"T1090","types":["primary impact"]},{"id":"T1202","types":["secondary impact"]}]
CVE-2019-3398	[{"id":"T1202","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]}]
CVE-2019-5591	[{"id":"T1133","types":["exploitation technique"]},{"id":"T1557","types":["primary impact"]},{"id":"T1005","types":["secondary impact"]}]
CVE-2020-0069	[{"id":"T1068","types":["exploitation technique"]}]
CVE-2020-0688	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1110","types":["primary impact"]},{"id":"T1114","types":["primary impact"]},{"id":"T1505.003","types":["secondary impact"]}]
CVE-2020-0787	[{"id":"T1068","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]}]
CVE-2020-12812	[{"id":"T1556","types":["exploitation technique","primary impact"]}]
CVE-2020-1472	[{"id":"T1110","types":["exploitation technique"]},{"id":"T1133","types":["exploitation technique","secondary impact"]},{"id":"T1021","types":["primary impact"]},{"id":"T1068","types":["primary impact"]},{"id":"T1087.002","types":["primary impact","secondary impact"]},{"id":"T1486","types":["secondary impact"]}]
CVE-2020-15505	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]}]
CVE-2020-17530	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]}]
CVE-2020-25506	[{"id":"T1133","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1584.005","types":["secondary impact"]}]
CVE-2020-29557	[{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1584.005","types":["secondary impact"]}]
CVE-2020-29574	[{"id":"T1055","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]}]
CVE-2020-3452	[{"id":"T1202","types":["exploitation technique"]},{"id":"T1005","types":["primary impact"]}]
CVE-2020-3580	[{"id":"T1204.001","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1217","types":["secondary impact"]}]
CVE-2020-5735	[{"id":"T1574","types":["primary impact"]},{"id":"T1499","types":["secondary impact"]}]
CVE-2020-5902	[{"id":"T1133","types":["exploitation technique"]},{"id":"T1190","types":["exploitation technique"]},{"id":"T1059","types":["primary impact"]},{"id":"T1003","types":["secondary impact"]},{"id":"T1005","types":["secondary impact"]},{"id":"T1070.004","types":["secondary impact"]},{"id":"T1552","types":["secondary impact"]},{"id":"T1562.001","types":["secondary impact"]}]
CVE-2020-8193	[{"id":"T1556","types":["exploitation technique"]},{"id":"T1005","types":["primary impact"]}]
CVE-2020-8195	[{"id":"T1056","types":["exploitation technique"]},{"id":"T1005","types":["primary impact"]},{"id":"T1082","types":["primary impact"]}]
CVE-2020-8196	[{"id":"T1056","types":["exploitation technique"]},{"id":"T1082","types":["primary impact"]},{"id":"T1005","types":["secondary impact"]}]
