path,label
G-U-S-X-O-C,Ordnance Corps
G-U-S-X-O-M,Ordnance Missile
G-U-S-X-O-M-C,Ordnance Missile Corps
G-U-S-X-O-M-T,Ordnance Missile Theater
G-U-S-X-O-T,Ordnance Theater
G-U-S-X-R,Maintenance Recovery
G-U-S-X-R-C,Maintenance Recovery Corps
G-U-S-X-R-T,Maintenance Recovery Theater
G-U-S-X-T,Maintenance Theater
G-U-U,Ground Support Unit
G-U-U-A,Combat Support NBC
G-U-U-A-B,Biological Unit
G-U-U-A-B-R,Recon Equipped
G-U-U-A-C,Chemical Unit
G-U-U-A-C-C,Smoke/Decon
G-U-U-A-C-C-K,Mechanized Smoke/Decon
G-U-U-A-C-C-M,Motorized Smoke/Decon
G-U-U-A-C-R,Chemical Recon
G-U-U-A-C-R-S,Chemical Recon Armored Vehicle
G-U-U-A-C-R-W,Chemical Recon Wheeled Armored Vehicle
G-U-U-A-C-S,Smoke
G-U-U-A-C-S-A,Armor Smoke
G-U-U-A-C-S-M,Motorized Smoke
G-U-U-A-D,Decontamination
G-U-U-A-N,Nuclear Unit
G-U-U-E,Explosive Ordinance Disposal
G-U-U-I,Information Warfare Unit
G-U-U-L,Law Enforcement Unit
G-U-U-L-C,Civilian Law Enforcement
G-U-U-L-D,Central Intelligence Division (CID)
G-U-U-L-F,Security Police (Air)
G-U-U-L-M,Military Police
G-U-U-L-S,Shore Patrol
G-U-U-M,Military Intelligence
G-U-U-M-A,Aerial Exploitation
G-U-U-M-C,Counter Intelligence
G-U-U-M-J,Joint Intelligence Center
G-U-U-M-M-O,Military Intelligence Meteorological
G-U-U-M-O,Operations
G-U-U-M-Q,Interrogation
G-U-U-M-R,Surveillance
G-U-U-M-R-G,Ground Surveillance Radar
G-U-U-M-R-S,Military Intelligence Sensor
G-U-U-M-R-S-S,Sensor SCM
G-U-U-M-R-X,Ground Station Module
G-U-U-M-S,Signal Intelligence (SIGINT)
G-U-U-M-S-E,Electronic Warfare
G-U-U-M-S-E-A,Armored Wheeled Vehicle
G-U-U-M-S-E-C,Corps
G-U-U-M-S-E-D,Direction Finding
G-U-U-M-S-E-I,Intercept
G-U-U-M-S-E-J,Jamming
G-U-U-M-S-E-T,Theater
G-U-U-M-T,Tactical Exploit
G-U-U-P,Landing Support
G-U-U-S,Signal Unit
G-U-U-S-A,Area
G-U-U-S-C,Communication Configured Package
G-U-U-S-C-L,Large Communication Configured Package
G-U-U-S-F,Forward Communications
G-U-U-S-M,Multiple Subscriber Element
G-U-U-S-M-L,Large Extension Node
G-U-U-S-M-N,Node Center
G-U-U-S-M-S,Small Extension Node
G-U-U-S-O,Command Operations
G-U-U-S-R,Radio Unit
G-U-U-S-R-S,Tactical Satellite
G-U-U-S-R-T,Teletype Center
G-U-U-S-R-W,Relay
G-U-U-S-S,Signal Support
G-U-U-S-W,Telephone Switch
G-U-U-S-X,Electronic Ranging
G-U-i,Incident Management Resources
G-U-i-a,Animal Health
G-U-i-a-imt,Incident Management Team Animal Protection
G-U-i-a-lar,Large Animal Rescue Strike Team
G-U-i-a-las,Large Animal Sheltering Team
G-U-i-a-lat,Large Animal Transport Team
G-U-i-a-sar,Small Animal Rescue Strike Team
G-U-i-a-sas,Small Animal Sheltering Team
G-U-i-a-sat,Small Animal Transport Team
G-U-i-e,Emergency Management Resources
G-U-i-e-acrc,Airborne Communications Relay(CAP)
G-U-i-e-acrt,Airborne Communications Relay Team
G-U-i-e-att,Airborne Transport Team
G-U-i-e-cis,Critical Incident Stress Management Team
G-U-i-e-cst,Communications Support Team
G-U-i-e-dc,Donations Coordinator
G-U-i-e-dmt,Donations Management Personnel Team
G-U-i-e-ect,Evacuation Coordination Team
G-U-i-e-efa,EOC Finance Administration
G-U-i-e-elt,Evacuation Liaison Team
G-U-i-e-ems,EOC Management Support Team
G-U-i-e-eos,EOC Operations Section Chief
G-U-i-e-eps,EOC Planning Section Chief
G-U-i-e-ial,Individual Assistance Disaster Assessment Team Leader
G-U-i-e-iat,Individual Assistance Disaster Assessment Team
G-U-i-e-imt,Incident Management Team
G-U-i-e-mcc,Mobile Communications Center
G-U-i-e-mfk,Mobile Feeding Kitchen
G-U-i-e-pac,Public Assistance Coordinator
G-U-i-e-rna,Rapid Needs Assessment Team
G-U-i-e-smt,Shelter Management Team
G-U-i-e-val,Volunteer Agency Liaison
G-U-i-f,Fire HAZMAT
G-U-i-f-act,"Area Command Team, Firefighting"
G-U-i-f-bp,Brush Patrol
G-U-i-f-ct,Crew Transport
G-U-i-f-efp,"Engine, Fire (Pumper)"
G-U-i-f-fb,Fire Boat
G-U-i-f-ft,Fuel Tender
G-U-i-f-fta,Fire Truck
G-U-i-f-ftf,Foam Tender
G-U-i-f-hc,Hand Crew
G-U-i-f-het,HazMat Entry Team
G-U-i-f-hf,"Helicopters, Firefighting"
G-U-i-f-ht,Helitanker
G-U-i-f-ibt,Interagency Buying Team Firefighting
G-U-i-f-imt,Incident Management Team Firefighting
G-U-i-f-mcu,Mobile Communications Unit
G-U-i-f-nsf,USCG National Strike Force
G-U-i-f-pp,Portable Pump
G-U-i-f-st,"Strike Team, Engine (Fire)"
G-U-i-f-wt,"Water Tender, Firefighting (Tanker)"
G-U-i-h,Health and Medical Resources
G-U-i-h-dmb,Disaster Medical Assistance Team - Basic
G-U-i-h-dmc,Disaster Medical Assistance Team - Crush Injury Specialty
G-U-i-h-dmm,Disaster Medical Assistance Team - Mental Health
G-U-i-h-dmp,Disaster Medical Assistance Team - Pediatric
G-U-i-h-dms,Disaster Medical Assistance Team - Burn
G-U-i-h-mor,Disaster Mortuary Operational Response Team
G-U-i-h-msr,International Medical Surgical Response Team
G-U-i-h-mst,NDMS Management Support Team
G-U-i-h-vma,Veterinary Medical Assistance Team
G-U-i-l,Law Enforcement Resources
G-U-i-l-bs,Bomb Squad Explosives Team
G-U-i-l-cct,Crowd Control Team
G-U-i-l-dt,Public Safety Dive Team
G-U-i-l-hps,Aviation-Helicopters Patrol Surveillance
G-U-i-l-oa,Observation Aircraft
G-U-i-l-tt,SWAT Tactical Team
G-U-i-m,Emergency Medical Services Resources
G-U-i-m-aaf,Air Ambulance (Fixed-Wing)
G-U-i-m-aar,Air Ambulance (Rotary-Wing)
G-U-i-m-ag,Ambulances (Ground)
G-U-i-m-ast,Ambulance Strike Team
G-U-i-m-atf,Ambulance Task Force
G-U-i-m-etf,Emergency Medical Task Force
G-U-i-o,Other Resources
G-U-i-p,Public Works Resources
G-U-i-p-acf,Air Curtain Burners (Above Ground)
G-U-i-p-ach,Air Conditioner Heater
G-U-i-p-act,Air Curtain Burners (In Ground)
G-U-i-p-atc,All Terrain Cranes
G-U-i-p-bh,Backhoe Loader
G-U-i-p-cah,Chillers Air Handlers
G-U-i-p-cc,Crawler Cranes
G-U-i-p-cce,Concrete Cutter Multi-Processor for Hydraulic Excavator
G-U-i-p-dat,Disaster Assessment Team
G-U-i-p-dmm,Debris Management Monitoring Team
G-U-i-p-dmr,Debris Management Site Reduction Team
G-U-i-p-dmt,Debris Management Team
G-U-i-p-drt,Disaster Recovery Team
G-U-i-p-dt,Dump Trailer
G-U-i-p-dtf,Dump Truck Off Road
G-U-i-p-dtn,Dump Truck On Road
G-U-i-p-epr,Electrical Power Restoration Team
G-U-i-p-es,Engineering Services
G-U-i-p-fbt,Flat Bed Trailer Truck
G-U-i-p-gen,Generators
G-U-i-p-hel,Hydraulic Excavator (Large)
G-U-i-p-hem,Hydraulic Excavator (Medium)
G-U-i-p-htc,Hydraulic Truck Cranes
G-U-i-p-ltc,Lattice Truck Cranes
G-U-i-p-tb,Tug Boat
G-U-i-p-td,Track Dozer
G-U-i-p-tg,Tub Grinder
G-U-i-p-tt,Tractor Trailer
G-U-i-p-wd,Wheel Dozer
G-U-i-p-wll,Wheel Loaders (Large)
G-U-i-p-wlm,Wheel Loaders (Medium)
G-U-i-p-wls,Wheel Loaders (Small)
G-U-i-p-wpt,Water Purification Team
G-U-i-p-wt,Water Truck
G-U-i-s,Search and Rescue Resources
G-U-i-s-ar,Airborne Reconnaissance
G-U-i-s-ast,Air Search Team
G-U-i-s-cas,Canine SAR Team Avalanche Snow
G-U-i-s-cav,Cave SAR Team
G-U-i-s-cdr,Canine SAR Team Disaster Response
G-U-i-s-clc,Canine SAR Team Land Cadaver
G-U-i-s-col,Collapse SAR Team
G-U-i-s-cwa,Canine SAR Team Water
G-U-i-s-cwi,Canine SAR Team Wilderness
G-U-i-s-cwt,Canine SAR Team Wilderness Tracking
G-U-i-s-mnt,Mountain SAR Team
G-U-i-s-mt,Mine Tunnel SAR Team
G-U-i-s-rdf,Radio Direction Finding Team
G-U-i-s-sfd,Swiftwater Flood Search and Dive Rescue Team
G-U-i-s-uis,USAR Incident Support Team
G-U-i-s-utf,USAR Task Force
G-U-i-s-wi,Wilderness SAR Team
S,Sea Surface Track
S-C,Surface Combatant
S-C-A,Amphibious Warfare Ship
S-C-A-L-A,Assault Vessel
S-C-A-L-C,Landing Craft
S-C-A-L-S,Landing Ship
S-C-H,Combatant Hovercraft
S-C-L,Line
S-C-L-B-B,Battleship
S-C-L-C-C,Cruiser
S-C-L-C-V,Carrier
S-C-L-D-D,Destroyer
S-C-L-F-F,Frigate/Corvette
S-C-M,Mine Warfare Vessel
S-C-M-M-A,MCM Support
S-C-M-M-D,MCM Drone
S-C-M-M-H,Minehunter
S-C-M-M-L,Minelayer
S-C-M-M-S,Minesweeper
S-C-P,Patrol
S-C-P-S-B,Antisubmarine Warfare
S-C-P-S-U,Antisurface Warfare
S-G,Navy Group
S-G-C,Convoy
S-G-G,Navy Task Group
S-G-T,Navy Task Force
S-G-U,Navy Task Unit
S-N,Surface Noncombatant
S-N-F,Fleet Support
S-N-H,Noncombatant Hovercraft
S-N-I,Intelligence
S-N-M,Hospital Ship
S-N-N,Surface Station
S-N-N-R,Rescue Station
S-N-R,Underway Replenishment
S-N-S,Service/Support Harbor
S-O,Own Track
S-S,Sea Station
S-S-A,ASW Ship
S-S-P,Picket
S-X,Non Military Surface
S-X-F,Fishing
S-X-F-D-F,Drifter
S-X-F-D-R,Dredge
S-X-F-T-R,Trawler
S-X-H,Non Military Hovercraft
S-X-L,Law Enforcement Vessel
S-X-M,Merchant
S-X-M-C,Cargo
S-X-M-F,Ferry
S-X-M-H,Hazardous Materials (Hazmat)
S-X-M-O,Oiler/Tanker
S-X-M-P,Passenger
S-X-M-R,Roll On/Roll Off
S-X-M-T-O,Towing Vessel
S-X-M-T-U,Tug
S-X-R,Leisure Craft
U,Subsurface Track
U-N,Non Submarine
U-N-D,Diver
U-S,Submarine
U-S-C,Submarine Conventional Propulsion
U-S-N,Submarine Nuclear Propulsion
U-S-O,Other Submersible
U-S-S,Submarine Station
U-S-S-A,ASW Submarine
U-S-U,Unmanned Underwater Vehicle (UUV)
U-W,Underwater Weapon
U-W-D,Underwater Decoy
U-W-D-M,Sea Mine Decoy
U-W-M,Sea Mine
U-W-M-D,Sea Mine Dealt
U-W-M-F,Sea Mine (Floating)
U-W-M-F-D,Sea Mine (Floating) Dealt
U-W-M-G,Sea Mine (Ground)
U-W-M-G-D,Sea Mine (Ground) Dealt
U-W-M-M,Sea Mine (Moored)
U-W-M-M-D,Sea Mine (Moored) Dealt
U-W-M-O,Sea Mine (In Other Position)
U-W-M-O-D,Sea Mine (In Other Position) Dealt
U-W-T,Torpedo
X,Other
X-i,Incident
X-i-c,CBRNE
X-i-e,Pollution and other Environmental
X-i-f,Incident Fire
X-i-f-h,Incident Fire Hot Spot
X-i-f-n,Incident Fire Non-residential
X-i-f-n-h,Incident Fire Non-residential Special Need
X-i-f-n-s,Incident Fire Non-residential School
X-i-f-o,Incident Fire Origin
X-i-f-p,Incident Fire Special Needs
X-i-f-r,Incident Fire Residential
X-i-f-s,Incident Fire Smoke
X-i-f-w,Incident Fire Wild
X-i-g,Geophysical
X-i-g-a,Geophysical Avalanche
X-i-g-e,Geophysical Earthquake
X-i-g-e-a,Geophysical Earthquake Aftershock
X-i-g-e-e,Geophysical Earthquake Epicenter
X-i-g-l,Geophysical Landslide
X-i-g-s,Geophysical Subsistance
X-i-g-v,Geophysical Volcano
X-i-g-v-e,Geophysical Volcano Eruption
X-i-g-v-t,Geophysical Volcano Threat
X-i-h,Medical and Public Health
X-i-i,Infrastructure
X-i-l,Security
X-i-l-c,Security Civil Disturbance
X-i-l-c-d,Security Civil Disturbance Demonstration
X-i-l-c-p,Security Civil Disturbance Displaced Population
X-i-l-c-r,Security Civil Disturbance Rioting
X-i-l-l,Security Law Enforcement Activity
X-i-l-l-b,Security Law Enforcement Activity Bombing
X-i-l-l-b-e,Security Law Enforcement Activity Bombing Explosion
X-i-l-l-b-t,Security Law Enforcement Activity Bombing Threat
X-i-l-l-l,Security Law Enforcement Activity Looting
X-i-l-l-p,Security Law Enforcement Activity Poisoning
X-i-l-l-s,Security Law Enforcement Activity Shooting
X-i-m,Meteorological Incident
X-i-m-a,Meteorological Sandstorm
X-i-m-c,Meteorological Cyclone
X-i-m-d,Meteorological Drought
X-i-m-f,Meteorological Flood
X-i-m-g,Meteorological Fog
X-i-m-h,Meteorological Hail
X-i-m-i,Meteorological Inversion
X-i-m-n,Meteorological Tsunami
X-i-m-r,Meteorological Rain
X-i-m-s,Meteorological Snow
X-i-m-t,Meteorological Tornado
X-i-m-u,Meteorological Thunderstorm
X-i-m-z,Meteorological Drizzle
X-i-o,Other Incident
X-i-r,Rescue Incident
X-i-s,Safety
X-i-t,Public and Private transportation
X-i-t-a,Public and Private transportation Air Incident
X-i-t-a-a,Public and Private transportation Air Accident
X-i-t-a-h,Public and Private transportation Air Hijacking
X-i-t-m,Public and Private transportation Maritime Incident
X-i-t-m-a,Public and Private transportation Maritime Accident
X-i-t-m-h,Public and Private transportation Maritime Hijacking
X-i-t-r,Public and Private transportation Rail Incident
X-i-t-r-a,Public and Private transportation Rail Accident
X-i-t-r-h,Public and Private transportation Rail Hijacking
X-i-t-v,Public and Private transportation Vehicle Incident
X-i-t-v-a,Public and Private transportation Vehicle Accident
X-i-t-v-h,Public and Private transportation Vehicle Hijacking
