ident,le_ident,he_ident,length_ft,width_ft,surface,lighted,closed,le_lat,le_lon,he_lat,he_lon,le_heading
AGAF,06,24,1501,131,Coral grass,0,0,,,,,
AGAR,11,29,2822,66,Coral,0,0,,,,,
AGAT,13,31,2769,49,Crushed coral,0,0,,,,,
AGBT,17,35,2028,49,grass coral,0,0,,,,,
AGEV,15,33,2297,82,Gravel dirt,0,0,,,,,
AGGA,18,36,3100,,,0,0,,,,,
AGGB,11,29,2187,59,Coral sand,0,0,,,,,
AGGC,13,31,2164,82,Sand grass,0,0,,,,,
AGGE,05,23,5413,,,0,0,,,,,
AGGF,18,36,1854,82,Grass,0,0,,,,,
AGGH,06,24,7218,148,Asphalt,1,0,-9.4317,160.0450,-9.4243,160.0640,68
AGGI,17,35,1953,72,Grass,0,0,,,,,
AGGJ,14,32,2461,98,Grass,0,0,,,,,
AGGK,10,28,4377,,,0,0,,,,,
AGGL,05,23,2999,,Coral,0,0,,,,,
AGGM,07,25,4593,98,Asphalt,0,0,-8.3292,157.2570,-8.3268,157.2690,79
AGGN,14,32,2871,75,,0,0,-8.0951,156.8620,-8.1019,156.8662,
AGGO,04,22,3281,,,0,0,,,,,
AGGP,12,30,2156,79,Coral,0,0,,,,,
AGGR,12,30,2206,66,Coral,0,0,,,,,
AGGS,10,28,3002,,,0,0,,,,,
AGGT,11,29,2655,75,Coral,0,0,,,,,
AGGU,05,23,2001,98,Coral,0,0,,,,,
AGGV,04,22,2789,79,Sand grass,0,0,,,,,
AGKG,14,32,2428,148,Sand/grass,0,0,,,,,
AGKU,13,31,1821,66,Graded earth,0,0,,,,,
AGKW,08,26,1896,66,Limestone/Grass,0,0,,,,,
AGLM,10,28,3477,98,Gravel,0,0,-10.2960,166.3226,-10.2975,166.3318,100
AGNA,12,30,2657,66,Soil and Grass,0,0,,,,,
AGOK,07,25,1936,121,Gravel,0,0,,,,,
AGRC,01,19,2461,75,Coral grass,0,0,,,,,
AGRM,14,32,2500,,,0,0,,,,,
ANYN,12,30,7054,148,Asphalt,1,0,-0.5412,166.9120,-0.5537,166.9260,121
AYAA,15,33,2300,98,Grassed red clay,0,0,,,,,
AYAE,14,32,1903,98,Grassed yellow silt clay,0,0,,,,,
AYAF,03,21,2073,98,Grassed brown silt clay,0,0,,,,,
AYAG,06,24,2981,148,Grassed grey gravel,0,0,,,,,
AYAI,16,34,2769,98,Grassed grey silt clay,0,0,,,,,
AYAK,13,31,2526,98,Brown silt clay,0,0,,,,,
AYAM,18,36,1900,98,Grassed red silt clay,0,0,,,,,
AYAN,07,25,1552,98,Grassed brown clay,0,0,,,,,
AYAO,01,19,3281,,Grass,0,0,,,,,
AYAQ,05,23,2559,59,Grey gravel,0,0,,,,,
AYAT,14,32,2461,147,Grassed yellow clay,0,0,,,,,
AYAU,14,32,2001,98,Grassed brown clay,0,0,,,,,
AYAW,18,36,2313,98,Grassed brown silt clay,0,0,,,,,
AYAX,16,34,1969,98,Grassed red silt clay,0,0,,,,,
AYAY,14,32,4200,,Grass,0,0,,,,,
AYBA,04,22,2953,148,Grassed black clay,0,0,,,,,
AYBB,11,29,1969,98,Grassed white coronas,0,0,,,,,
AYBC,07,25,1345,98,Grassed yellow clay,0,0,,,,,
AYBF,10,28,1549,98,Grassed red clay,0,0,,,,,
AYBG,10,28,1542,98,Grassed brown gravel,0,0,,,,,
AYBH,14,32,2772,98,Grassed brown clay,0,0,,,,,
AYBI,14,32,2500,59,Yellow gravel,0,0,,,,,
AYBK,04,22,5125,98,Asphalt,1,0,-5.4270,154.6670,-5.4175,154.6780,48
AYBO,01,19,2395,98,Grassed yellow silt clay,0,0,,,,,
AYBP,14,32,1624,148,Grassed brown clay,0,0,,,,,
AYBQ,16,34,1378,98,Grassed white lime stone,0,0,,,,,
AYBR,12,30,1982,,,0,0,,,,,
AYBS,12,30,1640,98,Grassed black clay,0,0,,,,,
AYBT,11,29,1969,98,Grassed red silt clay,0,0,,,,,
AYBU,15,33,4373,,,0,0,,,,,
AYBW,05,23,1969,98,Grass,0,0,,,,,
AYBX,04,22,1969,98,Grey clay,0,0,,,,,
AYBZ,05,23,1919,98,Grassed black silt sand,0,0,,,,,
AYCG,08,26,3543,98,Grassed gravel,0,0,,,,,
AYCH,03,21,3330,89,Asphalt,1,0,-6.0276,144.9680,-6.0202,144.9740,36
AYCN,01,19,1968,,Grass,0,0,,,,,
AYDB,12,30,2585,98,Grassed red clay,0,0,,,,,
AYDE,12,30,1549,98,Grassed white gravel,0,0,,,,,
AYDI,15,33,2198,148,Grassed brown gravel,0,0,,,,,
AYDK,10,28,2800,,,0,0,,,,,
AYDO,10,28,2051,98,Grassed grey sand,0,0,,,,,
AYDP,06,24,1706,98,Grassed red silt clay,0,0,,,,,
AYDQ,12,30,1936,98,Grassed red silt clay,0,0,,,,,
AYDS,10,28,1509,98,Brown clay,0,0,,,,,
AYDU,14,32,4593,98,Asphalt,0,0,-9.0823,143.2030,-9.0912,143.2120,135
AYDW,10,28,2129,98,Grassed brown silt clay,0,0,,,,,
AYDY,10,28,1969,98,Hard loam,0,0,,,,,
AYEA,15,33,1900,98,Grassed red silt,0,0,,,,,
AYEB,01,19,1640,148,Grassed black sand,0,0,,,,,
AYED,02,20,2415,98,Grassed yellow clay,0,0,,,,,
AYEE,12,30,4773,,,0,0,,,,,
AYEF,17,35,1598,98,Grassed brown clay,0,0,,,,,
AYEG,01,19,1969,98,Grassed brown clay,0,0,,,,,
AYEH,09,27,4298,,,0,0,,,,,
AYEK,09,27,1476,98,Red silt clay,0,0,,,,,
AYEL,14,32,1739,98,,0,0,,,,,
AYEM,17,35,1969,98,Grassed black silt clay,0,0,,,,,
AYEN,16,34,1312,98,Grassed brown silt clay,0,0,,,,,
AYEO,04,22,1804,98,Grassed yellow clay,0,0,,,,,
AYET,14,32,2297,98,Grassed brown clay,0,0,,,,,
AYEW,06,24,1549,98,Grassed red clay,0,0,,,,,
AYEY,02,20,1936,98,Grassed black silt,0,0,,,,,
AYFE,12,30,2165,98,Grassed brown clay,0,0,,,,,
AYFK,06,24,1969,98,Grassed black silt clay,0,0,,,,,
AYFO,12,30,1998,98,Grassed red silt sand,0,0,,,,,
AYFS,09,27,1532,98,Grassed red silt clay,0,0,,,,,
AYFU,05,23,2500,98,Grassed red clay,0,0,,,,,
AYGA,17L,35R,3983,59,Asphalt,0,0,-6.0750,145.3920,-6.0862,145.3930,176
AYGA,17R,35L,5400,98,Asphalt,1,0,-6.0753,145.3910,-6.0902,145.3920,176
AYGC,04,22,1490,98,Grassed brown gravel,0,0,,,,,
AYGD,02,20,1706,,,0,0,,,,,
AYGE,12,30,1969,98,Grassed brown clay,0,0,,,,,
AYGH,03,21,1969,98,Grassed red clay,0,0,,,,,
AYGJ,12,30,3593,,,0,0,,,,,
AYGM,02,20,1837,98,Grassed brown clay,0,0,,,,,
AYGN,09,27,5546,98,Asphalt,1,0,-10.3100,150.3260,-10.3130,150.3410,101
AYGO,17,35,2001,98,Grassed brown clay,0,0,,,,,
AYGQ,11,29,1969,98,Grassed limestone gravel,0,0,,,,,
AYGR,03,21,5485,98,Asphalt,0,0,-8.8105,148.3040,-8.7986,148.3140,38
AYGU,10,28,2526,98,Brown clay gravel,0,0,,,,,
AYGX,08,26,1640,98,Grassed black clay,0,0,,,,,
AYGY,14,32,2625,75,Grassed red silty clay,0,0,,,,,
AYHA,03,21,1982,98,Grassed red clay,0,0,,,,,
AYHB,02,20,1969,98,Grassed brown clay,0,0,,,,,
AYHE,16,34,1404,98,Grassed red clay,0,0,,,,,
AYHF,17,35,3097,,,0,0,,,,,
AYHH,04,22,1348,98,Grassed black clay sand,0,0,,,,,
AYHJ,01,19,1969,98,grass clay,0,0,-5.1943,142.9587,-5.1886,142.9604,
AYHK,12,30,6644,98,Asphalt,1,0,-5.4579,150.4009,-5.4698,150.4135,133
AYHN,17,35,1968,98,Grassed brown clay,0,0,,,,,
AYHO,06,24,1641,98,Grassed brown clay,0,0,,,,,
AYHQ,03,21,1585,98,Grassed black silt clay,0,0,,,,,
AYHT,14,32,1509,98,Grassed black clay,0,0,,,,,
AYHU,03,21,1358,98,Grassed brown clay,0,0,,,,,
AYHW,08,26,1969,98,Grassed brown silty clay,0,0,,,,,
AYHX,17,35,1969,98,Grassed brown clay,0,0,,,,,
AYIB,03,21,1969,98,Grassed river gravel,0,0,,,,,
AYID,09,27,1699,98,Grassed white gravel,0,0,,,,,
AYII,06,24,1640,,,0,0,,,,,
AYIM,18,36,1391,,,0,0,,,,,
AYIN,11,29,1640,98,Grassed grey gravel,0,0,,,,,
AYIP,18,36,1509,98,Grassed brown silt clay,0,0,,,,,
AYIQ,14,32,5397,98,Asphalt,1,0,,,,,
AYIR,05,23,1837,98,Red clay,0,0,,,,,
AYIS,16,34,1345,98,Grassed brown clay,0,0,,,,,
AYIU,10,28,3478,196,,0,0,,,,,
AYIW,05,23,2000,,,0,0,,,,,
AYIX,10A,28D,3035,,Grass,0,0,,,,,
AYIY,11,29,1969,98,Grassed brown clay,0,0,,,,,
AYJS,03,21,3117,,,0,0,,,,,
AYJW,15,33,2290,,Grass,0,0,,,,,
AYKA,14,32,5348,,,0,0,,,,,
AYKD,14,32,1148,,,0,0,,,,,
AYKH,15,33,1578,98,Brown gravel,0,0,,,,,
AYKI,07,25,3691,,,0,0,,,,,
AYKJ,09,27,1273,,,0,0,,,,,
AYKM,14,32,3044,60,Asphalt,0,0,-7.9600,145.7690,-7.9669,145.7740,146
AYKO,17,35,2805,147,Grassed black silt,0,0,,,,,
AYKQ,07,25,1467,98,Grassed brown clay,0,0,,,,,
AYKR,16,34,2953,,,0,0,,,,,160
AYKT,16,34,1476,98,Grassed red clay gravel,0,0,,,,,
AYKV,12,30,5592,98,Asphalt,1,0,-2.5750,150.8020,-2.5838,150.8140,125
AYKY,12,30,3937,,,0,0,,,,,
AYLE,02,20,1969,98,,0,0,-5.2216,151.3920,-5.2169,151.3950,29
AYLG,14,32,2132,,,0,0,,,,,
AYLH,01,19,1969,98,Grassed black clay silt,0,0,,,,,
AYLI,09,27,1969,98,Grassed brown silt clay,0,0,,,,,
AYLL,06,24,2461,,,0,0,,,,,
AYLN,17,35,1654,,,0,0,,,,,
AYLO,04,22,1640,,,0,0,,,,,
AYLS,12,30,2520,,,0,0,,,,,
AYLT,07,25,1535,,,0,0,,,,,
AYLX,04,22,2015,98,Grass,0,0,,,,,
AYLZ,10,28,2044,147,Grassed black silt clay,0,0,,,,,
AYMB,17,35,1998,,,0,0,,,,,
AYMD,07,25,5174,105,Asphalt,1,0,-5.2089,145.7820,-5.2052,145.7960,75
AYMH,08,26,3599,59,Asphalt,0,0,-5.8271,144.2930,-5.8261,144.3030,85
AYMH,12,30,7185,98,Asphalt,1,0,-5.8238,144.2910,-5.8340,144.3080,121
AYMJ,08,26,1565,,,0,0,,,,,
AYMN,17,35,4411,98,Asphalt,0,0,-6.1417,143.6560,-6.1538,143.6580,173
AYMO,16,34,6136,148,Asphalt,1,0,-2.0539,147.4210,-2.0699,147.4270,161
AYMP,10,28,3609,,,0,0,,,,,
AYMQ,10,28,2359,,,0,0,,,,,
AYMR,09,27,5774,,,0,0,,,,,
AYMS,08,26,3937,,,0,0,,,,,
AYMU,09,27,2165,,Grass,0,0,,,,,
AYMV,14,32,3050,,,0,0,,,,,
AYMY,15,33,1969,98,Grass red silty clay,0,0,,,,,
AYMZ,15,33,1969,,,0,0,,,,,
AYNB,02,20,1772,98,Brown clay gravel,0,0,,,,,
AYNC,05,23,1362,,,0,0,,,,,
AYND,15,33,3015,,,0,0,,,,,
AYNI,12,30,2799,,,0,0,,,,,
AYNJ,06,24,2953,,,0,0,,,,,
AYNM,12,30,1499,98,Grassed brown silt clay,0,0,,,,,
AYNN,09,27,2800,,,0,0,,,,,
AYNO,08,26,1627,,,0,0,,,,,
AYNS,15,33,1969,98,Grassed brown gravel,0,0,,,,,
AYNT,09,27,1476,98,Grassed red clay,0,0,,,,,
AYNU,12,30,2418,147,Grassed red silt clay,0,0,,,,,
AYNX,12,30,3494,,,0,0,,,,,
AYNZ,09,27,8000,148,Asphalt,1,0,-6.5689,146.7150,-6.5708,146.7370,95
AYOB,14,32,1969,98,Grassed brown clay,0,0,,,,,
AYOD,10,28,1870,98,Grassed brown silt clay,0,0,,,,,
AYOE,01,19,2014,,,0,0,,,,,
AYOF,06,24,1969,98,Brown Silt clay,0,0,,,,,
AYOG,12,30,1804,98,Grassed red clay,0,0,,,,,
AYOH,01,19,2182,98,Grassed river gravel,0,0,,,,,
AYOJ,10,28,2215,98,Grassed yellow clay,0,0,,,,,
AYOK,02,20,1224,,,0,0,,,,,
AYOL,15,33,1647,98,Grassed brown silt clay,0,0,,,,,
AYOM,14,32,1640,98,Grassed black clay,0,0,,,,,
AYOO,12,30,2592,147,Grassed grey gravel,0,0,,,,,
AYOP,12,30,1968,,,0,0,,,,,
AYOS,17,35,1968,,,0,0,,,,,
AYOU,18,36,1381,98,Grassed red silt clay,0,0,,,,,
AYOV,18,36,2018,147,Grassed black silt clay,0,0,,,,,
AYOX,01,19,1969,98,Grassed brown silt clay,0,0,,,,,
AYOY,01,19,3524,,Grass,0,0,,,,,
AYPA,11,29,1680,98,Grassed Red Clay,0,0,,,,,
AYPB,01,19,1598,98,Brown gravel,0,0,,,,,
AYPC,01,19,2396,98,Grassed clay,0,0,,,,,
AYPD,08,26,2001,98,Grassed grey clay,0,0,,,,,
AYPE,18,36,2034,98,Grassed brown clay,0,0,,,,,
AYPI,05,23,1969,98,Grassed black clay,0,0,,,,,
AYPJ,09,27,2904,59,Grassed brown silt clay,0,0,,,,,
AYPO,18,36,1706,,,0,0,,,,,
AYPQ,01,19,2001,98,Grassed grey silt sand,0,0,,,,,
AYPS,01D,19A,1640,,Grass,0,0,,,,,
AYPY,14L,32R,9022,148,Asphalt,1,0,-9.4309,147.2140,-9.4521,147.2270,148
AYPY,14R,32L,4625,148,Asphalt,0,0,-9.4347,147.2130,-9.4506,147.2230,142
AYQB,07,25,1378,98,Grassed brown clay,0,0,,,,,
AYQL,14,32,1627,98,Grassed brown gravel,0,0,,,,,
AYQM,16,34,1706,98,Grassed brown silt clay,0,0,,,,,
AYQQ,16,34,1640,98,Red clay,0,0,,,,,
AYQR,12,30,1969,,,0,0,,,,,
AYQV,15,33,2021,98,Grassed Sand,0,0,,,,,
AYQW,07,25,1942,49,Grass,0,0,,,,,
AYRA,07,25,1804,98,Grassed red clay,0,0,,,,,
AYRE,12,30,2592,,,0,0,,,,,
AYRG,15,33,1952,98,Grassed red clay,0,0,,,,,
AYRI,12,30,2900,,,0,0,,,,,
AYRK,15,33,3117,,,0,0,,,,,
AYRO,01,19,1640,98,Grassed red clay,0,0,,,,,
AYRR,08,26,1969,98,Grassed silt clay,0,0,,,,,
AYRT,16,34,2014,98,Grassed black silt clay,0,0,,,,,
AYRV,05,23,1969,98,Grassed brown clay,0,0,,,,,
AYSB,18,36,2953,82,White gravel,0,0,,,,,
AYSD,12,30,3806,,,0,0,,,,,
AYSF,11,29,3543,,,0,0,,,,,
AYSI,06,24,1181,98,Grey silt clay,0,0,,,,,
AYSK,14,32,1640,98,Red clay,0,0,,,,,
AYSL,18,36,3150,,Grass,0,0,,,,,
AYSP,16,34,1526,98,Grassed grey gravel,0,0,,,,,
AYSR,10,28,2159,98,Grassed grey clay,0,0,,,,,
AYSS,14,32,2953,147,Red gravel,0,0,,,,,
AYSW,09,27,2051,98,Grassed brown silt clay,0,0,,,,,
AYSX,17,35,1263,,,0,0,,,,,
AYTA,14,32,5197,,,0,0,,,,,
AYTB,14,32,4232,,,0,0,,,,,
AYTD,07,25,2953,82,Grassed white gravel,0,0,,,,,
AYTF,01,19,1854,98,Grassed black silt clay,0,0,,,,,
AYTG,03,21,8202,,Concrete,0,0,,,,,
AYTG,14,32,2313,147,Grassed brown clay,0,0,,,,,
AYTH,08,26,2133,98,Grassed brown gravel,0,0,,,,,
AYTK,10,28,5643,98,Asphalt,1,0,-4.3382,152.3720,-4.3426,152.3870,106
AYTM,16,34,1854,98,Grassed red clay,0,0,,,,,
AYTO,16,34,1673,98,Grey clay,0,0,,,,,
AYTQ,14,32,1969,30,Grassed brown clay,0,0,,,,,
AYTR,07,25,2297,98,Grassed brown silt clay,0,0,,,,,
AYTS,06,24,1804,98,Brown silt clay,0,0,,,,,
AYTT,18,36,1909,98,Red clay,0,0,,,,,
AYTU,06,24,2887,59,Grassed yellow gravel,0,0,,,,,
AYTV,12,30,1969,98,Grassed brown clay,1,0,,,,,
AYTW,02,20,1529,98,Grassed red clay,0,0,,,,,
AYTY,10,28,2756,147,Grassed black silt,0,0,,,,,
AYTZ,04,22,1411,98,Grassed red clay,0,0,,,,,
AYUA,04,22,1844,98,Grassed red clay,0,0,,,,,
AYUC,13,31,1598,98,Grassed red clay,0,0,,,,,
AYUE,09,27,1575,98,Grassed black clay,0,0,,,,,
AYUG,07,25,1594,98,Grassed brown clay,0,0,,,,,
AYUI,01,19,1640,98,Grassed brown loam,0,0,,,,,
AYUK,09A,27D,1178,,Grass,0,0,,,,,
AYUM,14,32,2625,98,Brown clay gravel,0,0,,,,,
AYUN,07,25,1998,98,Grassed brown clay,0,0,,,,,
AYUO,16,34,1969,98,Red gravel,0,0,,,,,
AYUP,03,21,1476,98,White gravel,0,0,,,,,
AYUQ,13,31,2172,,Grass,0,0,,,,,
AYUS,14,32,2165,98,Grassed grey silt clay,0,0,,,,,
AYUT,15,33,1575,98,Grassed brown clay,0,0,,,,,
AYUV,14,32,1903,98,Grassed black silt clay,0,0,,,,,
AYUX,04,22,1499,98,Grassed brown clay,0,0,,,,,
AYUY,09,27,1640,,,0,0,,,,,
AYUZ,07,25,2756,98,Grassed white gravel,0,0,,,,,
AYVA,17,35,2953,98,Gravel,0,0,,,,,
AYVB,10,28,1558,98,Grassed brown clay,0,0,,,,,
AYVK,01,19,1499,,Grass,0,0,,,,,
AYVL,14,32,5250,82,Gravel,0,0,,,,,143
AYVM,02,20,2500,98,Grassed black silt clay,0,0,,,,,
AYVN,12,30,5775,85,Asphalt,1,0,-2.6876,141.2970,-2.6978,141.3090,130
AYVO,04,22,1969,98,Grassed brown clay,0,0,,,,,
AYVP,08,26,2625,98,White gravel,0,0,,,,,
AYWB,14,32,2379,98,Grassed brown gravel,0,0,,,,,
AYWD,14,32,5052,75,Asphalt,0,0,-5.6381,143.8910,-5.6485,143.9000,139
AYWE,18A,36D,1968,,Grass,0,0,,,,,
AYWH,05,23,1525,,,0,0,,,,,
AYWJ,14,32,2625,,,0,0,,,,,
AYWK,10,28,5234,98,Asphalt,1,0,-3.5821,143.6620,-3.5856,143.6760,104
AYWL,18,36,1985,,Grass,0,0,,,,,
AYWM,02A,20D,1574,,Grass,0,0,,,,,
AYWN,15,33,1440,98,Grassed Brown Clay,0,0,,,,,
AYWO,11,29,1394,98,Grassed yellow gravel,0,0,,,,,
AYWY,10A,28D,2198,,Grass,0,0,,,,,
AYXA,08A,26D,1804,,Grass,0,0,,,,,
AYXB,16,34,2448,98,Grassed red clay,0,0,,,,,
AYXI,18,36,1384,98,Grassed grey silt clay,0,0,,,,,
AYXO,10,28,2789,98,Grassed white gravel,0,0,,,,,
AYXP,09,27,1637,98,Grassed red clay,0,0,,,,,
AYXW,05,23,2707,,Grass,0,0,,,,,
AYXY,11,29,1299,98,Grassed brown clay,0,0,,,,,
AYYA,07,25,2503,,Grass,0,0,,,,,
AYYC,01,19,2615,,Grass,0,0,,,,,
AYYD,10,28,1991,98,Grassed brown clay,0,0,,,,,
AYYI,16,34,1969,98,Grassed red clay,0,0,,,,,
AYYK,13,31,1526,98,Grassed red clay,0,0,,,,,
AYYL,03,21,2198,98,Grassed grey gravel,0,0,,,,,
AYYN,06,24,1558,98,Brown clay gravel,0,0,,,,,
AYYO,12,30,1355,98,Red clay,0,0,,,,,
AYYQ,03,21,1493,98,Grassed brown clay,0,0,,,,,
AYYT,12,30,1500,,,0,0,,,,,
AYYU,11,29,1995,,,0,0,,,,,
AYYV,14,32,1969,98,Grassed brown silt clay,0,0,,,,,
AYYW,15,33,1188,,,0,0,,,,,
AYYZ,21,03,1500,100,Grassed brown clay,0,0,,,,,213
AYZA,15,33,1598,98,Grassed brown silt clay,0,0,,,,,
AYZI,15,33,2297,98,Grassed black silt clay,0,0,,,,,
AYZM,08,26,3740,,Grass,0,0,,,,,
AYZN,11,29,1608,98,Grassed sand clay,0,0,,,,,
AYZQ,11,29,1969,98,Grassed red clay,0,0,,,,,
AYZS,14,32,2297,98,Grassed grey clay,0,0,,,,,
AYZU,03,21,2090,98,Grassed black silt clay,0,0,,,,,
AYZW,17,35,1476,98,Brown silt clay,0,0,,,,,
AYZZ,14,32,1378,98,Brown clay,0,0,,,,,
BGAA,12,30,2621,,,0,0,,,,,
BGAP,H1,,197,66,Asphalt,0,0,,,,,
BGAR,H1,,130,130,Gravel,0,0,,,,,
BGBW,06,24,6004,148,Concrete,1,0,61.1544,-45.4369,61.1667,-45.4150,41
BGCO,18,36,3281,98,Gravel,1,0,70.7455,-22.6535,70.7372,-22.6430,157
BGDH,10T,28T,2132,82,Gravel,0,0,76.7713,-18.6743,76.7702,-18.6482,99
BGGD,H1,,197,197,Asphalt,0,0,,,,,
BGGH,04,22,7217,148,Asphalt,1,0,64.1814,-51.6862,64.2002,-51.6725,
BGGH,05,23,3117,98,Asphalt,1,1,64.1890,-51.6796,64.1971,-51.6734,19
BGJN,06,24,2772,98,Asphalt,0,0,69.2401,-51.0634,69.2463,-51.0508,
BGKK,11,29,3934,,,0,0,,,,,
BGMQ,16,34,2621,98,Asphalt,0,0,65.4146,-52.9463,65.4103,-52.9325,
BGNS,04,22,197,66,Asphalt,0,0,,,,,
BGNS,10,28,197,66,Asphalt,0,0,,,,,
BGPT,17,35,2621,98,Asphalt,0,0,62.0176,-49.6756,62.0119,-49.6663,
BGQE,H1,,49,49,Gravel,0,0,,,,,
BGQQ,17,35,3314,327,Gravel,1,0,77.4908,-69.4044,77.4865,-69.3731,
BGSF,09,27,9219,197,Asphalt,1,0,67.0056,-50.7431,67.0176,-50.6864,62
BGSQ,H1,,98,66,Gravel,0,0,,,,,
BGSS,13,31,2621,98,Asphalt,1,0,66.9522,-53.7381,66.9504,-53.7205,103
BGTL,08T,26T,9997,150,Asphalt,1,0,76.5300,-68.7615,76.5324,-68.6448,85
BGUK,05,23,2621,98,Asphalt,1,0,72.7867,-56.1330,72.7937,-56.1282,
BGUQ,15,33,2953,98,Gravel,0,0,70.7362,-52.7068,70.7322,-52.6856,
BIAR,01,19,8858,148,Asphalt,1,0,65.6549,-18.0699,65.6672,-18.0740,356
BIBD,04,22,3084,98,Asphalt,1,0,65.6374,-23.5512,65.6453,-23.5411,28
BIBL,04,22,3182,,,0,0,,,,,
BIEG,03,21,7054,148,Asphalt,1,0,65.2746,-14.4112,65.2908,-14.3928,25
BIFZ,04,22,2510,115,Grass,0,0,,,,,
BIGF,05,23,2936,,Grass,0,0,,,,,
BIGJ,05,23,3150,98,Asphalt,1,0,,,,,50
BIGR,17,35,3399,80,Asphalt,1,0,66.5504,-18.0213,66.5417,-18.0133,160
BIHK,03,21,3280,,,0,0,,,,,
BIHN,18,36,4921,148,Asphalt,1,0,64.3022,-15.2308,64.2891,-15.2239,168
BIHU,02,20,5266,98,Asphalt,1,0,65.9453,-17.4295,65.9593,-17.4224,12
BIIS,07,25,4593,139,Asphalt,1,0,66.0551,-23.1486,66.0610,-23.1216,62
BIKF,01,19,10020,197,Asphalt,1,0,63.9645,-22.6054,63.9919,-22.6054,14
BIKF,10,28,10056,197,Asphalt,1,0,63.9850,-22.6550,63.9850,-22.5924,104
BIKR,01,19,6191,90,Asphalt,1,0,65.7233,-19.5696,65.7400,-19.5761,351
BINF,08,26,3648,,,0,0,,,,,
BIPA,14,32,4593,148,Asphalt,1,0,65.5592,-23.9791,65.5531,-23.9526,119
BIRF,06,24,3937,98,Asphalt,0,0,,,,,
BIRF,12,30,2756,98,Asphalt,0,0,,,,,
BIRG,07,25,3533,,,0,0,,,,,
BIRK,01,19,5138,148,Asphalt,1,0,64.1220,-21.9362,64.1360,-21.9389,355
BIRK,06,24,3116,98,Asphalt,0,1,64.1272,-21.9468,64.1331,-21.9326,46
BIRK,13,31,4035,148,Asphalt,1,0,64.1325,-21.9554,64.1276,-21.9327,117
BIRL,02,20,3461,98,Asphalt,0,0,,,,,
BISF,05,23,3609,98,Grass,0,0,,,,,
BISF,15,33,3543,98,Grass,0,0,,,,,
BISI,06,24,3556,78,Asphalt,0,0,66.1298,-18.9248,66.1369,-18.9085,43
BISS,15,33,2578,59,Asphalt,0,0,64.0617,-21.5743,64.0584,-21.5610,
BIST,07,25,3675,,,0,0,,,,,
BITE,14,32,3117,,,0,0,,,,,
BITN,01,19,3937,98,Asphalt,1,0,66.2131,-15.3363,66.2238,-15.3350,3
BIVM,03,21,3806,148,Asphalt,1,0,63.4208,-20.2825,63.4306,-20.2750,19
BIVM,12,30,3937,148,Asphalt,1,0,63.4264,-20.2875,63.4225,-20.2650,110
BIVO,04,22,2904,98,Asphalt,0,0,65.7174,-14.8559,65.7239,-14.8449,
BKPR,17,35,9974,148,Asphalt,1,0,42.5853,21.0346,42.5580,21.0374,176
BUTL,18,36,3055,75,Turf,0,0,,,,,
CBBC,13,31,3700,75,Asphalt,0,0,52.1894,-128.1610,52.1806,-128.1530,151
CRHA,02,20,9300,115,Asphalt,1,0,,,,,
CRML,01,19,2250,50,Turf,0,0,,,,,
CYAB,13,31,3935,98,Gravel,1,0,73.0097,-85.0618,73.0031,-85.0328,128
CYAC,11,29,3900,100,Gravel,0,0,,,,,
CYAD,10,28,5000,150,Gravel,0,0,,,,,
CYAG,03,21,2600,75,Asphalt,1,0,48.6528,-93.4453,48.6586,-93.4392,35
CYAG,12,30,4500,100,Asphalt,1,0,48.6580,-93.4481,48.6508,-93.4330,126
CYAH,09,27,5000,150,Gravel,0,0,,,,,
CYAL,09,27,2900,75,Asphalt,0,0,,,,,
CYAM,04,22,6000,200,Asphalt,1,0,46.4778,-84.5153,46.4917,-84.5019,34
CYAM,12,30,6000,200,Asphalt,1,0,46.4860,-84.5209,46.4810,-84.4982,108
CYAQ,03,21,3500,100,Gravel,0,0,,,,,
CYAS,03,21,3521,,,0,0,,,,,
CYAT,06,24,3500,100,Gravel,0,0,52.9245,-82.4380,52.9307,-82.4260,
CYAU,07,25,3937,75,Asphalt,1,0,44.2271,-64.8622,44.2335,-64.8500,54
CYAV,04,22,2850,75,Asphalt,1,0,50.0508,-97.0356,50.0561,-97.0269,46
CYAV,13,31,3000,75,Asphalt,1,0,50.0614,-97.0356,50.0558,-97.0261,132
CYAV,18,36,3000,75,Asphalt,1,0,50.0614,-97.0368,50.0535,-97.0389,190
CYAW,10,28,5692,200,Asphalt,1,1,44.6389,-63.5161,44.6400,-63.4944,85
CYAW,16,34,8998,200,Asphalt,0,1,44.6494,-63.5057,44.6308,-63.4829,139
CYAW,16H,34H,3500,112,Asphalt,1,0,,,,,
CYAX,18,36,3600,75,Asphalt,1,0,50.2992,-96.0092,50.2892,-96.0103,185
CYAY,10,28,4000,100,Asphalt,1,0,51.3909,-56.0918,51.3929,-56.0745,80
CYAZ,07,25,4999,150,Concrete,0,0,49.0759,-125.7810,49.0759,-125.7600,90
CYAZ,11,29,4997,100,Concrete,0,0,49.0825,-125.7830,49.0744,-125.7660,126
CYAZ,16,34,5000,100,Concrete,0,0,49.0894,-125.7810,49.0758,-125.7790,175
CYBA,18,36,3000,190,TURF/SNOW,0,0,,,,,
CYBB,05,23,5000,100,Gravel,1,0,68.5300,-89.8222,68.5389,-89.7939,49
