ident,type,name,municipality,iso_country,iso_region,iata_code,elevation_ft,lat,lon
UHAB,heliport,Enmelen Heliport,Enmelen,RU,RU-CHU,,3,65.0139,-175.8627
UHAC,small_airport,Chuvanskoye Airport,Chuvanskoye,RU,RU-CHU,,644,65.1722,167.9525
UHAO,heliport,Anadyr Heliport,Anadyr,RU,RU-CHU,,32,64.7166,177.4631
UHAR,small_airport,Krasneno Airport,Krasneno,RU,RU-CHU,,52,64.6306,174.7819
UHAS,heliport,Sireniki Heliport,Sireniki,RU,RU-CHU,,165,64.4113,-173.9475
UHAW,small_airport,Vayegi Airport,Vayegi,RU,RU-CHU,,131,64.1674,171.0579
UHBA,small_airport,Arkhara Airport,Arkhara,RU,RU-AMU,,420,49.4165,130.0673
UHBB,medium_airport,Ignatyevo Airport,Blagoveschensk,RU,RU-AMU,BQS,638,50.4254,127.4120
UHBE,small_airport,Zeya Airport,Zeya,RU,RU-AMU,EYA,905,53.6870,127.0910
UHBN,small_airport,Novokievsky Uval Airport,Novokievsky Uval,RU,RU-AMU,,591,51.6603,128.9329
UHBO,small_airport,Oktyabrskiy Airport,,RU,RU-AMU,,1070,53.0044,128.6627
UHBP,small_airport,Ekimchan Airport,Ekimchan,RU,RU-AMU,,1781,53.0761,132.9510
UHBS,small_airport,Svobodny Airport,Svobodny,RU,RU-AMU,,600,51.4550,128.0983
UHBW,small_airport,Tynda Airport,Tynda,RU,RU-AMU,TYD,2001,55.2849,124.7790
UHBX,small_airport,Gornyy Airport,Gornyy,RU,RU-AMU,,1363,54.6535,128.4559
UHDW,small_airport,Vankarem Airport,Vankarem,RU,RU-CHU,,3,67.8387,-175.8494
UHEI,small_airport,Ilirney Airport,,RU,RU-CHU,,1165,67.2553,167.9492
UHEK,small_airport,Kupol Airport,,RU,RU-CHU,,1745,66.9017,169.5600
UHHG,small_airport,Bomnak Airfield,Bomnak,RU,RU-AMU,,1199,54.7128,128.8577
UHHH,medium_airport,Khabarovsk Novy Airport,Khabarovsk,RU,RU-KHA,KHV,244,48.5283,135.1886
UHHO,small_airport,Troitskoye Airport,Troitskoye,RU,RU-KHA,,93,49.4448,136.5710
UHHT,small_airport,Khabarovsk MVL Airport,Khabarovsk,RU,RU-KHA,,262,48.5255,135.1525
UHHY,small_airport,Chumikan Airport,Chumikan,RU,RU-KHA,,,54.6960,135.2860
UHKD,medium_airport,Dzemgi Airport,Komsomolsk-na-Amur,RU,RU-KHA,,89,50.6056,137.0810
UHKG,medium_airport,Kamenny Ruchey Naval Air Base,Sovetskaya Gavan,RU,RU-KHA,,659,49.2357,140.1931
UHKK,medium_airport,Komsomolsk-on-Amur Airport,Komsomolsk-on-Amur,RU,RU-KHA,KXK,92,50.4090,136.9340
UHKM,medium_airport,Sovetskaya Gavan (Maygatka) Airport,Sovetskaya Gavan,RU,RU-KHA,GVN,768,48.9251,140.0353
UHKP,small_airport,Sovetskaya Gavan (Postovaya) Airport,Zavety Il'icha,RU,RU-KHA,,240,49.0311,140.2268
UHMA,medium_airport,Ugolny Yuri Ryktheu Airport,Anadyr,RU,RU-CHU,DYR,194,64.7349,177.7410
UHMD,medium_airport,Provideniya Bay Airport,Chukotka,RU,RU-CHU,PVS,72,64.3781,-173.2430
UHME,small_airport,Zaliv Kresta Airport,Egvekinot,RU,RU-CHU,,,66.3584,-179.1077
UHMF,medium_airport,Omsukchan Airport,Omsukchan,RU,RU-MAG,,1732,62.4570,155.7450
UHMG,medium_airport,Chaybukha Airport,Chaybukha,RU,RU-MAG,,207,61.8350,160.5480
UHMH,small_airport,Susuman Airport,Susman,RU,RU-MAG,,2129,62.7650,148.1470
UHMI,small_airport,Mys Shmidta Airport,Mys Shmidta,RU,RU-CHU,,20,68.8683,-179.3730
